Tempo   |   E[N]           |   E[W]           |     Erro_little               |  Ocupação
7800    | 147.967208        | 29.393715        | 0.00000000006451728041        | 0.996601
7900    | 147.959892        | 29.367448        | 0.00000000007315748007        | 0.996638
8000    | 148.364715        | 29.453514        | 0.00000000009339373719        | 0.996708
8100    | 148.751442        | 29.525023        | 0.00000000002816591405        | 0.996740
8200    | 149.465015        | 29.640696        | 0.00000000002640376806        | 0.996863
8300    | 150.689783        | 29.871631        | 0.00000000003265654414        | 0.996796
8400    | 152.362175        | 30.175707        | -0.00000000002384581421        | 0.996859
8500    | 154.272915        | 30.576873        | -0.00000000002142996891        | 0.996904
8600    | 156.020403        | 30.918623        | 0.00000000000244426701        | 0.996908
8700    | 157.567087        | 31.246921        | 0.00000000001290345608        | 0.996952
8800    | 159.064281        | 31.520575        | 0.00000000001989519660        | 0.996992
8900    | 160.619848        | 31.829280        | 0.00000000004553157851        | 0.997107
9000    | 162.474504        | 32.175293        | 0.00000000005567812877        | 0.997086
9100    | 164.401790        | 32.575367        | 0.00000000005567812877        | 0.997123
9200    | 166.096720        | 32.918072        | 0.00000000009640643839        | 0.997112
9300    | 167.760225        | 33.255251        | 0.00000000009057998795        | 0.997138
9400    | 168.937069        | 33.498754        | 0.00000000009552536540        | 0.997196
9500    | 169.871105        | 33.708809        | 0.00000000013307044355        | 0.997254
9600    | 170.702385        | 33.890534        | 0.00000000012383338799        | 0.997294
9700    | 171.267244        | 33.996199        | 0.00000000011263523447        | 0.997269
9800    | 171.960550        | 34.145427        | 0.00000000013631051843        | 0.997284
9900    | 172.670941        | 34.285532        | 0.00000000010254552762        | 0.997312
10000    | 173.755337        | 34.482107        | 0.00000000008381562111        | 0.997400
10100    | 174.913667        | 34.710548        | 0.00000000014330225895        | 0.997385
10200    | 175.732637        | 34.868943        | 0.00000000016638068701        | 0.997398
10300    | 176.546519        | 35.018952        | 0.00000000014398437997        | 0.997506
10400    | 177.585929        | 35.224551        | 0.00000000014225065570        | 0.997473
10500    | 178.223538        | 35.363818        | 0.00000000025377744350        | 0.997474
10600    | 179.380171        | 35.573991        | 0.00000000027839064387        | 0.997491
10700    | 180.954407        | 35.881695        | 0.00000000022427570912        | 0.997524
10800    | 182.521483        | 36.183337        | 0.00000000017413981368        | 0.997568
10900    | 184.288097        | 36.547801        | 0.00000000018187051865        | 0.997619
11000    | 186.045348        | 36.891800        | 0.00000000017871570890        | 0.997585
11100    | 188.072797        | 37.291368        | 0.00000000022171775527        | 0.997603
11200    | 190.323564        | 37.740548        | 0.00000000029049829209        | 0.997638
11300    | 192.433784        | 38.172593        | 0.00000000028006752473        | 0.997654
11400    | 194.542729        | 38.594374        | 0.00000000032804337025        | 0.997672
11500    | 196.774063        | 39.051232        | 0.00000000022581048142        | 0.997697
11600    | 198.957020        | 39.472223        | 0.00000000018758328224        | 0.997706
11700    | 201.104610        | 39.885475        | 0.00000000021353230295        | 0.997745
11800    | 203.190267        | 40.301298        | 0.00000000022410517886        | 0.997752
11900    | 205.019242        | 40.663505        | 0.00000000026830093702        | 0.997768
12000    | 206.531282        | 40.978429        | 0.00000000024590462999        | 0.997882
12100    | 207.982159        | 41.254125        | 0.00000000022183144210        | 0.997808
12200    | 209.861205        | 41.622205        | 0.00000000013153567124        | 0.997822
12300    | 211.544768        | 41.967752        | 0.00000000011593215277        | 0.997840
12400    | 213.175230        | 42.311567        | 0.00000000011650058696        | 0.997862
12500    | 214.661975        | 42.607217        | 0.00000000021901769287        | 0.997872
12600    | 216.299950        | 42.920036        | 0.00000000021208279577        | 0.997895
12700    | 217.973569        | 43.267651        | 0.00000000019980461730        | 0.997911
12800    | 219.544847        | 43.576697        | 0.00000000020330048756        | 0.997945
12900    | 221.272245        | 43.914706        | 0.00000000013341150407        | 0.997958
13000    | 223.232146        | 44.302235        | 0.00000000012710188457        | 0.997959
13100    | 224.885611        | 44.631653        | 0.00000000005366018740        | 0.997970
13200    | 226.132239        | 44.903280        | 0.00000000005610445442        | 0.997987
13300    | 226.901138        | 45.033503        | 0.00000000010740563994        | 0.998001
13400    | 227.841218        | 45.208599        | 0.00000000014367174117        | 0.998021
13500    | 228.665525        | 45.357478        | 0.00000000020065726858        | 0.998063
13600    | 229.811105        | 45.590790        | 0.00000000015720047486        | 0.998045
13700    | 230.437059        | 45.742838        | 0.00000000017908519112        | 0.998091
13800    | 230.595799        | 45.803843        | 0.00000000020614265850        | 0.998106
13900    | 230.692603        | 45.824016        | 0.00000000026761881600        | 0.998095
14000    | 230.552966        | 45.807609        | 0.00000000027458213481        | 0.998102
14100    | 230.252535        | 45.748760        | 0.00000000029518787414        | 0.998115
14200    | 229.865171        | 45.689886        | 0.00000000028879298952        | 0.998133
14300    | 229.210220        | 45.579405        | 0.00000000027381474865        | 0.998198
14400    | 228.114431        | 45.382736        | 0.00000000028012436815        | 0.998171
14500    | 226.986165        | 45.166107        | 0.00000000033361402529        | 0.998168
14600    | 225.655752        | 44.927438        | 0.00000000034157210393        | 0.998083
14700    | 224.176250        | 44.651178        | 0.00000000045139358917        | 0.997497
14800    | 222.959597        | 44.422035        | 0.00000000044724401960        | 0.997492
14900    | 221.717118        | 44.194527        | 0.00000000038630787458        | 0.997514
15000    | 220.379809        | 43.930698        | 0.00000000047938897296        | 0.997389
15100    | 219.023293        | 43.668736        | 0.00000000048783022066        | 0.997215
15200    | 217.617478        | 43.402995        | 0.00000000048078163672        | 0.996515
15300    | 216.360004        | 43.138356        | 0.00000000047387516133        | 0.996500
15400    | 215.370447        | 42.925245        | 0.00000000042609826778        | 0.996530
15500    | 214.436273        | 42.773560        | 0.00000000031207036955        | 0.996557
15600    | 213.453045        | 42.564552        | 0.00000000017158185983        | 0.996597
15700    | 212.452807        | 42.364816        | 0.00000000007702283256        | 0.996590
15800    | 211.345703        | 42.143776        | 0.00000000014981083041        | 0.996642
15900    | 210.186686        | 41.912917        | 0.00000000023146640160        | 0.996637
16000    | 209.072884        | 41.683274        | 0.00000000022509993869        | 0.996662
16100    | 208.102517        | 41.491133        | 0.00000000027475266506        | 0.996688
16200    | 206.989448        | 41.269496        | 0.00000000030513547244        | 0.996661
16300    | 205.906126        | 41.068350        | 0.00000000032559910323        | 0.996657
16400    | 204.858588        | 40.853641        | 0.00000000027549162951        | 0.996637
16500    | 203.720415        | 40.620007        | 0.00000000026224711291        | 0.996572
16600    | 202.565351        | 40.376374        | 0.00000000011968381841        | 0.996472
16700    | 201.420270        | 40.141276        | 0.00000000013190515347        | 0.996378
16800    | 200.266240        | 39.925392        | 0.00000000004536104825        | 0.996183
16900    | 199.352725        | 39.746836        | -0.00000000001088551471        | 0.996198
17000    | 198.374568        | 39.556245        | -0.00000000005982769835        | 0.996233
17100    | 197.303145        | 39.339161        | -0.00000000015859313862        | 0.995856
17200    | 196.209590        | 39.128173        | -0.00000000009532641343        | 0.995831
17300    | 195.128692        | 38.926285        | -0.00000000018795276446        | 0.995339
17400    | 194.108313        | 38.731734        | -0.00000000018664536583        | 0.995190
