Tempo   |   E[N]           |   E[W]          |         Erro_little            |  Ocupação

100     | 5.890261         | 1.199646        | -0.00000000000001154632        | 0.896750
200     | 9.710197         | 1.951798        | 0.00000000000008881784         | 0.915571
300     | 22.184505        | 4.384290        | 0.00000000000130384592         | 0.944875
400     | 25.822053        | 5.090597        | 0.00000000000194333438         | 0.958252
500     | 23.764228        | 4.685376        | 0.00000000000387245791         | 0.966275
600     | 21.200444        | 4.162391        | 0.00000000000206412665         | 0.961570
700     | 19.957322        | 3.956422        | -0.00000000000148503432        | 0.956801
800     | 19.406175        | 3.835213        | 0.00000000000505195885         | 0.961801
900     | 20.411887        | 4.025131        | 0.00000000000488142859         | 0.965770
1000    | 19.485225        | 3.856170        | 0.00000000000619593266         | 0.962903
1100    | 18.902155        | 3.736946        | -0.00000000000140687462        | 0.960384
1200    | 19.273239        | 3.821528        | -0.00000000000282085466        | 0.962081
1300    | 18.488140        | 3.651007        | -0.00000000000612132567        | 0.962459
1400    | 18.460106        | 3.640021        | -0.00000000000635935749        | 0.963534
1500    | 18.138771        | 3.595633        | -0.00000000000198241423        | 0.962886
1600    | 17.767070        | 3.515621        | -0.00000000000840216785        | 0.961298
1700    | 18.280493        | 3.624544        | -0.00000000000159516844        | 0.962889
1800    | 17.902143        | 3.549665        | -0.00000000000227373675        | 0.962755
1900    | 17.514095        | 3.464166        | 0.00000000000597566441         | 0.963766
2000    | 18.952273        | 3.721605        | -0.00000000000493116659        | 0.965969
2100    | 20.356341        | 4.010161        | 0.00000000000157740487         | 0.967359
2200    | 20.072003        | 3.960040        | 0.00000000000573052716         | 0.967639
2300    | 19.313687        | 3.823834        | -0.00000000000397193389        | 0.960290
2400    | 19.449392        | 3.849459        | -0.00000000001044853093        | 0.961576
2500    | 19.577768        | 3.874024        | -0.00000000001135092020        | 0.963024
2600    | 19.588390        | 3.873284        | -0.00000000000431654712        | 0.964388
2700    | 19.450811        | 3.846004        | -0.00000000000508393327        | 0.963846
2800    | 20.227643        | 3.999252        | -0.00000000000575184345        | 0.965280
2900    | 20.130387        | 3.974545        | -0.00000000002952660338        | 0.966328
3000    | 19.614372        | 3.885316        | -0.00000000001458388965        | 0.963524
3100    | 19.228135        | 3.809011        | -0.00000000001849898013        | 0.962924
3200    | 18.860414        | 3.737974        | -0.00000000000350652840        | 0.961793
3300    | 18.653015        | 3.693888        | -0.00000000000071764816        | 0.961651
3400    | 18.528667        | 3.667121        | -0.00000000000390798505        | 0.962594
3500    | 18.168764        | 3.598589        | -0.00000000000824584845        | 0.961380
3600    | 18.117321        | 3.590551        | 0.00000000000532907052         | 0.960751
3700    | 18.188208        | 3.606064        | 0.00000000000725464133         | 0.961139
3800    | 18.135927        | 3.593332        | 0.00000000001711697450         | 0.961591
3900    | 17.968876        | 3.562353        | 0.00000000002848210556         | 0.960812
4000    | 17.807252        | 3.532834        | 0.00000000003863220854         | 0.960421
4100    | 17.583271        | 3.495002        | 0.00000000002803446364        | 0.958494
4200    | 17.445734        | 3.464074        | 0.00000000003988986919        | 0.957798
4300    | 17.499572        | 3.473259        | 0.00000000005511324730        | 0.958765
4400    | 17.204691        | 3.420107        | 0.00000000005243805390        | 0.957096
4500    | 17.050786        | 3.388770        | 0.00000000006884093295        | 0.956441
4600    | 16.850738        | 3.349903        | 0.00000000010615508472        | 0.954850
4700    | 17.184503        | 3.409480        | 0.00000000007392486623        | 0.955826
4800    | 17.405529        | 3.453763        | 0.00000000005435651929        | 0.956730
4900    | 17.166236        | 3.411802        | 0.00000000004098410500        | 0.955080
5000    | 17.072450        | 3.391833        | 0.00000000004481393034        | 0.954897
5100    | 16.900411        | 3.357174        | 0.00000000003160494089        | 0.954120
5200    | 16.836701        | 3.344188        | 0.00000000002865618853        | 0.953536
5300    | 16.999740        | 3.378909        | 0.00000000001699618224        | 0.953960
5400    | 16.833477        | 3.347725        | 0.00000000003617017796        | 0.952982
5500    | 16.758541        | 3.333525        | 0.00000000004337863402        | 0.952838
5600    | 16.682412        | 3.317761        | 0.00000000001308109177        | 0.953387
5700    | 16.489775        | 3.279887        | 0.00000000004435918299        | 0.951867
5800    | 16.346773        | 3.251193        | 0.00000000006206946068        | 0.951334
5900    | 16.220932        | 3.225381        | 0.00000000004879296966        | 0.951121
6000    | 16.140204        | 3.206982        | 0.00000000004019895528        | 0.951496
6100    | 16.021254        | 3.187529        | 0.00000000005208988796        | 0.951145
6200    | 16.050320        | 3.189384        | 0.00000000006019718057        | 0.951992
6300    | 16.055439        | 3.191936        | 0.00000000002610178740        | 0.952552
6400    | 16.007654        | 3.184217        | 0.00000000002837907687        | 0.952329
6500    | 15.826637        | 3.153586        | -0.00000000002545696987        | 0.950657
6600    | 15.881893        | 3.163437        | -0.00000000000431654712        | 0.951330
6700    | 15.829440        | 3.156184        | -0.00000000001348432477        | 0.950227
6800    | 15.720517        | 3.136263        | -0.00000000001578470687        | 0.949766
6900    | 15.772487        | 3.145199        | 0.00000000000047428728        | 0.949615
7000    | 15.727658        | 3.135051        | 0.00000000001220890056        | 0.949609
7100    | 15.842524        | 3.157830        | 0.00000000001338840150        | 0.950316
7200    | 15.715478        | 3.134476        | 0.00000000001964828300        | 0.949563
